CA,1429
IA,463
GA,363
LA,342
FL,313
SC,284
NY,282
KS,274
MO,271
WI,263
WA,233
UT,222
CO,216
OK,212
VA,204
MA,162
MN,160
MI,140
NC,138
IL,129
AR,125
MD,104
RI,83
NV,82
OH,81
DE,71
SD,67
ND,63
AL,58
ME,55
AZ,52
NH,49
AK,46
ID,43
NJ,41
DC,39
VT,39
WV,36
NM,35
MT,30
WY,23
NE,6
