,Model,Accuracy,Precision,Recall,False Positive Rate,Area Under ROC,Area Under PRC
0,Logistic Regression TTS,0.821276595745,0.791208791209,0.757894736842,0.135714285714,0.856842105263,0.827790569836
1,Logistic Regression CV,0.825531914894,0.8,0.757894736842,0.128571428571,0.855714285714,0.827795872995
2,GridSearch Logistic Regression,0.821276595745,0.791208791209,0.757894736842,0.135714285714,0.854586466165,0.827205973698
3,kNN Model,0.812765957447,0.786516853933,0.736842105263,0.135714285714,0.849248120301,0.826677774371
4,GridSearch kNN Model,0.804255319149,0.795180722892,0.694736842105,0.121428571429,0.846541353383,0.832777272483
5,GridSearch SVM Model,0.821276595745,0.884057971014,0.642105263158,0.0571428571429,0.798345864662,0.767145331797
6,GridSearch Decision Tree Model,0.795744680851,0.79746835443,0.663157894737,0.114285714286,0.846052631579,0.813888994644
