,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
104,"Chicago, IL 60654 (Loop area)",Groupon,"Predictive modeling, recommender system, data mining, machine learning, statistical analysis, and A/B testing; Utilize advanced data mining and machine learning...",4b05bf30f6280d3e,Data Scientist - Groupon Getaways,,42.6,256,30+ days,2016-10-17 21:24:16.414864
105,"Chicago, IL 60626 (Rogers Park area)",Loyola University Chicago,"Gathers data on competitors and provides analysis of programs, prices, enrollments/market share and positioning....",67e5d1df96851ff0,RESEARCH ANALYST,,52.199997,64,24 days,2016-10-17 21:24:16.414864
106,"Northbrook, IL",Stericycle,Must be subject matter expert with a passion for digging into any dataset by researching the relevant in-formation on the subject in order to use the data...,ccba1e58b743d323,Data Analyst/Scientist,,41.4,522,30+ days,2016-10-17 21:24:16.414864
107,"Chicago, IL",Mathematica Policy Research,"As a health analyst, you would join our staff of over 250 health research professionals with doctoral or master’s degrees and years of substantive experience in...",bc41376e82e3d1f4,Health Research Analyst,,43.2,34,30+ days,2016-10-17 21:24:16.414864
108,"Chicago, IL",Workbridge Associates,"Data, Analytics, Scientist, Science, Python, R, SAS, SQL, Hadoop, Tableau, Analysis, Healthcare, Hospital, University, Career, Job, Chicago, IL,....",335978faa4e4f8e5,Mid-Level Data Scientist,"$105,000 a year",41.4,25,24 days,2016-10-17 21:24:16.414864
109,"Chicago, IL 60601 (Loop area)",Mission Measurement,"For each area of social policy – e.g., education, public health, economic development, human services, etc. – the IGP creates new higher value data by...",3700513ae41ee87b,Statistical Analyst (part-time or full-time contract),$20 an hour,,,30+ days,2016-10-17 21:24:16.414864
110,"Chicago, IL",Illinois Technology Association,Lead Data Scientist –Optimization. Integrating with external data sources and APIs to discover interesting trends (NOAA Weather Data + Credit Card Transactions...,326f3e10cc8e4233,Capital One - Lead Data Scientist –Optimization,,,,24 days,2016-10-17 21:24:16.414864
111,"Chicago, IL 60601 (Loop area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Eight years of professional experience working as a Data...",eac9a5e7126b9bd9,Manager - Data Scientist,,51.0,1768,25 days,2016-10-17 21:24:16.414864
112,"Chicago, IL",Mintel,Conduct trade interviews in order to gain insight into the key issues relevant to retail and apparel subject areas....,09e48bf191addbb4,Research Analyst - Retail & Apparel,,42.6,8,12 days,2016-10-17 21:24:16.414864
113,"Chicago, IL",Civis Analytics,"Experience or demonstrated interest in working with data scientists and machine learning experts. Survey data, consumer data, public data, and client data....",f9ed716542510a0b,Lead Data Engineer,,,,18 days,2016-10-17 21:24:16.414864
114,"Wood Dale, IL 60191",AAR Corp.,"Will utilize data analytics to help anticipate changes in demand, analyze trends and mitigate risk. Create and implement detailed data collection plans to...",4a4b0c04611a6850,Data Scientist,,39.0,84,30+ days,2016-10-17 21:24:16.414864
115,"Chicago, IL",Millward Brown North America,"Deliver insights from survey data that impact the success of your client's business. Data Fluency - Strong experience with data analysis, interpretation,...",846967c34bd45a52,Market Research Analyst,,,,2 days,2016-10-17 21:24:16.414864
116,"Chicago, IL",HERE,"Computational statistics/science, data mining, machine. Machine learning as applied to global-scale digital map-making....",b288c4ef85be6c23,Senior Data Scientist - HERE Maps Chicago,,43.8,56,30+ days,2016-10-17 21:24:16.414864
117,"Deerfield, IL",Hirewell,"Data manipulation with SQL systems. Minimum of Master's degree in a data science or analytics field such as mathematics, statistics, operations research, or...",940321156fd4f151,Data Scientist,"$125,000 a year",,,18 days,2016-10-17 21:24:16.414864
118,"Chicago, IL",Spencer Ogden,"Remain up-to-date on new technologies, trends, and industry standards for production modeling to ensure installations are compliant with industry best practices...",e73fa577048e68be,The Data Scientist (Operations Engineering),,41.4,7,30+ days,2016-10-17 21:24:16.414864
119,"Chicago, IL",Civis Analytics,"Specialization in a particular area of statistics or machine learning, e.g. neural networks, Markov Chain Monte Carlo, network analysis, data engineering,...",d7505f53f77d262d,Data Science Research & Development Internship - Summer 2017,,,,30+ days,2016-10-17 21:24:16.414864
120,"Chicago, IL",University of Chicago,"Collaborate with a vibrant and interactive community of medical physicists, radiologists, technologists and other scientists from a broad range of clinical and...",9399cb55bfca612b,Staff Scientist,,52.800003,226,23 days,2016-10-17 21:24:16.414864
121,"Chicago, IL 60654 (Loop area)","Anthem, Inc.","This position serves as a technical coding subject matter expert to the data scientists to identify fraud, waste, and abuse claims that do not meet explicit...",a5a9cf6295942d03,Business Info Consultant (Program Intergrity Analytics Innov...,,43.8,1727,25 days,2016-10-17 21:24:16.414864
122,"Chicago, IL 60606 (Loop area)","Technomic, Inc.","Run data quality checks on online data platforms. We drive growth and profitability for our clients by providing the most reliable, consumer-grounded, channel...",5a6981e5fe502424,Research Analyst (Survey Programming),,,,14 days,2016-10-17 21:24:16.414864
123,"Chicago, IL",Mintel,"Develop consumer surveys and turn consumer research findings, market data and industry knowledge into actionable insights, providing critical thinking, insight...",785b501518570fbe,Research Analyst - Beverage,,42.6,8,27 days,2016-10-17 21:24:16.414864
124,"Chicago, IL",BAI Online,"Project planning and project management experience. Knowledge of relational database (STAR data schemes, ETL, SSIS and data normalization)....",86bcf45fc4117e3f,"Senior Developer/Data Analytics Analyst, Research,",,,,30+ days,2016-10-17 21:24:16.414864
125,"Chicago, IL 60603 (Loop area)",Workbridge Associates,"The right candidate will have a strong background in predictive analytics, machine learning and building algorithms based on consumer data....",b5ef7bea275866fa,Lead Data Scientist,$90 an hour,41.4,25,30+ days,2016-10-17 21:24:16.414864
126,"Chicago, IL",Civis Analytics,"ADS Managers manage, supervise and mentor a team of Data Scientists in the ADS practice to deliver custom analytic solutions to our clients....",51ae91de720f75b4,Applied Data Science Manager,,,,30+ days,2016-10-17 21:24:16.414864
