,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
168,"San Diego, CA",Aequor Technologies,"- In general, scientist will provide appropriate technical support and scientific oversight to conduct in vivo toxicology studies including protocol preparation...",f8cc54448d2f6d65,Associate Scientist in Exploratory Toxicology,,40.2,5,27 days,2016-10-17 21:40:20.324924
169,"San Diego, CA",Workbridge Associates,A leading cybersecurity solutions company located in San Diego is looking to bring on a Software Engineer to their team who has previous experience with machine...,20db1842ea700d0d,Software Engineer (C#/Machine Learning),"$85,000 - $115,000 a year",41.4,25,27 days,2016-10-17 21:40:20.324924
170,"San Diego, CA",Celgene,"Significant experience evaluating and deploying technologies in genome, transcriptome, and proteome characterization to clinical samples and data, and...",c291ae0b0f1b9451,"Principal Scientist, Translational Bioinformatics",,51.6,91,5 days,2016-10-17 21:40:20.324924
171,"San Diego, CA",NEUROCRINE BIOSCIENCES,Comfort with data analysis and informatics systems is a must. The work will be fast paced and process oriented in an environment which is predicated upon...,fe7905c093fcd8bf,Scientist - In Vitro,,,,30+ days,2016-10-17 21:40:20.324924
172,"San Diego, CA",Nitto BioPharma Inc.,Train junior Research Scientists on HPLC/UPLC-based assays for RNA and lipid materials. Clinical assets include our first anti-liver fibrosis drug program (ND...,c3f31433e55e04b9,"Senior Scientist/Group Leader, Analytical - job code NBPI006",,,,4 days,2016-10-17 21:40:20.324924
173,"San Diego, CA",Ivory Systems,"Additional requirements include exhibiting strong scientific / reasoning skills, demonstrated scientific flexibility and commitment to excellence;...",b26e527a532d9115,Senior Research Associate (Drug Development),,,,30+ days,2016-10-17 21:40:20.324924
174,"San Diego, CA",TechGuard,"Send resumes to:. Develop, implement, and integrate solution sets that enable a holistic command and control....",f1fb1780e5a2ffd5,Systems Analyst/Computer Scientist,,,,30+ days,2016-10-17 21:40:20.324924
175,"San Diego, CA",Lancaster Laboratories,"Supervise a staff of 2-6 scientists. Eurofins Lancaster Laboratories, a nationally recognized laboratory, is searching for a Quality Control Team Lead to...",fc2e071805ea5ad7,Quality Control Team Lead - 2nd shift,,,,30+ days,2016-10-17 21:40:20.324924
176,"San Diego, CA",Eurofins,"Supervise a staff of 2-6 scientists. Eurofins Lancaster Laboratories, a nationally recognized laboratory, is searching for a Quality Control Team Lead to...",b4782dbd6f478f4f,Quality Control Team Lead - 2nd shift,,,,30+ days,2016-10-17 21:40:20.324924
177,"San Diego, CA",UC San Diego,"Training and supervising graduate students, postdoctoral researchers and scientists from UCSD and external scientific community are an important aspect of the...",4fae5f1e41e921c4,Plasma Laboratory Manager,"$68,700 - $90,000 a year",51.6,42,13 days,2016-10-17 21:40:20.324924
178,"San Diego, CA",Takeda Pharmaceuticals,"Represents own research to senior leadership, or for scientific collaborations, or at national scientific conferences recognized in the therapeutic disciplines....",35e6725b43bde24f,Principal Scientist - In Vivo Pharmacology,,44.4,146,26 days,2016-10-17 21:40:20.324924
179,"San Diego, CA",Navitas Inc,"Analyze, interpret and present scientific data Accurately maintain written reports and organize data Review current literature pertaining to relevant projects....",88b47e8cca823bae,Associate Clinical Scientist,,,,30+ days,2016-10-17 21:40:20.324924
180,"San Diego, CA","Illumina, Inc.","PhD in Applied Physics, Biophysics, Physical Chemistry, Analytical Chemistry, Physics, Biomedical Engineering or a closely related field....",f7137a0a3d310d6e,Scientist 1 – Biomolecules Characterization,,41.4,51,30+ days,2016-10-17 21:40:20.324924
181,"San Diego, CA",Biolinq Inc.,You will have the opportunity to assist the scientific team run experiments and collect data to validate biosensor performance....,71b156459086f362,Biosensor Technician,,,,4 days,2016-10-17 21:40:20.324924
182,"San Diego, CA 92121","Quantum Applied Science and Research (QUASAR), Inc...",Level scientists and engineers. The results will be used to determine the added value of using brain activity data to improve the adaptability of computer-based...,eab4ae1c766b9f2e,Neuroscience in Education Postdoctoral Research Fellow,,,,30+ days,2016-10-17 21:40:20.324924
183,"San Diego, CA",Walmart eCommerce,"@WalmartLabs brings together dozens of engineers, scientists and product experts to execute a cutting edge vision....",f64b78f78259b266,Staff Software Engineer,,42.0,17,5 hours,2016-10-17 21:40:20.324924
184,"San Diego, CA",Accenture,"Data Scientists are expected to collaborate with other data scientists, subject matter experts, sales, and delivery teams from Accenture locations around the...",af60a027b4b6025e,Lead Data Scientist,,51.0,6923,30+ days,2016-10-17 21:40:20.324924
185,"San Diego, CA 92110",Scientific Research Corporation,"Scientific Research Corporation offers a competitive salary, an extensive benefits package and a work environment that encourages excellence....",4070b10c15b57b90,Sr. Network Engineer,,43.8,53,6 days,2016-10-17 21:40:20.324924
186,"San Diego, CA",Hologic,Interfaces and advises clinical scientists regarding design and organization of clinical data. Maintains and administers Clinical Data Management (CDMS) and...,e5a91f3f6ec50adf,"Manager, Clinical Database Management",,41.4,61,30+ days,2016-10-17 21:40:20.324924
187,"San Diego, CA","Illumina, Inc.","The Bioinformatics Scientist will work closely with R&D scientists, software, database, and outside teams to deliver cutting edge bioinformatics solutions....",f8273af06a86e18a,Bioinformatics Scientist 2,,41.4,51,30+ days,2016-10-17 21:40:20.324924
188,"San Diego, CA",Penfield Search Partners,The Statistical Programming Manager is accountable for programming team deliverables for the assigned clinical project....,40d2476168285fc3,Manager Statistical Programming,,,,5 days,2016-10-17 21:40:20.324924
189,"San Diego, CA",Jacobs Center for Neighborhood Innovation,Direct deposit is highly encouraged.A health care benefit is available for the participant only (dependents are not eligible)....,eafe0d102febbf3a,Community Assessment Specialist,"$15,000 a year",,,30+ days,2016-10-17 21:40:20.324924
190,"San Diego, CA 92121",Vertex Pharmaceuticals,Deep understanding of physiologically relevant cell based assays using 3D and 2D cell culture is required. This position will focus on developing and applying...,701c0b165e17561a,"Cell Biologist, Research Scientist I",,43.8,38,28 days,2016-10-17 21:40:20.324924
191,"San Diego, CA",FICO,"Experience with unstructured data analytics platforms (Lucene, ElasticSearch, etc) and machine learning and big data platforms (Spark, Hadoop, MongoDB, etc)....",6490aaa8440641c4,Lead Software Engineer - Text Analytics,,43.8,42,30+ days,2016-10-17 21:40:20.324924
192,"San Diego, CA 92121",Vertex Pharmaceuticals,Scientists and Research Associates. Provides strong scientific and technical leadership and supervision. Proven ability to critically analyze and interpret data...,ecdf8e604025d582,"Senior Research Scientist, Pharmacology",,43.8,38,7 days,2016-10-17 21:40:20.324924
193,"San Diego, CA 92121","ATR International, Inc.","Skills in mathematical modeling, statistical analysis and data mining -Experience with a statistical analysis package such as SAS, S-Plus, or R required....",d4970b8466657782,"Systems Analyst, Staff (EDA/Data Scientist)",,52.800003,16,30+ days,2016-10-17 21:40:20.324924
194,"La Jolla, CA",Salk Institute for Biological Studies,"Along with the Core Director, the Image Analysis Scientist will train Salk scientists on how to properly acquire high quality quantitative microscopy image data...",9ab67dc04c5c1376,Image Analysis Scientist,,51.0,8,30+ days,2016-10-17 21:40:20.324924
