,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
26,"Boston, MA 02111 (Central area)",Bunker Hill Insurance,"Analyzes competitive data, identifies trends and opportunities; Designs, reviews, and analyzes monthly and quarterly reports used to manage the company’s...",ed867b68344d0b27,Product Analyst - Quantitative,,,,14 days,2016-10-17 21:30:39.662904
27,"Boston, MA 02210 (South Boston area)",DataXu,Data Scientist & Machine Learning Engineer. DataXu is looking for a a Senior Data Scientist & Machine Learning Engineer to join the Optimization Group....,4d96c101d81ece9b,DataScientist and Machine Learning Engineer,,43.8,4,5 days,2016-10-17 21:30:39.662904
28,"Cambridge, MA",ThriveHive,"As our primary data scientist, you will dive deep into our customer data to identify the actions and behaviors of successful small business marketing, and use...",1056715d6afd92ce,"Open Data Scientist | Cambridge, MA",,,,30 days,2016-10-17 21:30:39.662904
29,"Boston, MA",Physical Sciences Inc.,Candidates with deep knowledge and demonstrated record of accomplishment in applying statistics-based data analytics algorithms for signature extraction and...,4ed9af05f1968f8d,Applied Physicist/Data Analytics,,,,2 days,2016-10-17 21:30:39.662904
30,"Cambridge, MA",Amazon Corporate LLC,"PhD with specialization in machine learning applied in multimodal data processing and information fusion, with at least 3 years of related work experience....",aad34d95918a1375,Multimodal Machine Learning Scientist,,43.2,9618,5 days,2016-10-17 21:30:39.662904
31,"Newton, MA","Thermalin Diabetes, LLC",Knack for communicating stories through data visualizations. Format and analyze data to extract key performance parameters....,6a7c9e08a21183c5,"Data Scientist - Newton, MA (will work in Boston, MA area)",,,,21 days,2016-10-17 21:30:39.662904
32,"Framingham, MA",Berg Health,"In Statistics, Epidemiology, Public Health, Data Science or related field. Perform meticulous and well thought-out data analysis for hypothesis testing on...",8a44d1e1ec7c55e4,Data Scientist,,,,6 days,2016-10-17 21:30:39.662904
33,"Boston, MA",EXL,Candidates with BA/BS degrees from the top tier academic institutions with significant work experience are also welcome to apply 10 or more years of...,d743201574f644bb,Healthcare- Data Scientist,,44.4,320,25 days,2016-10-17 21:30:39.662904
34,"Boston, MA",Aetna,"Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization....",f706561bafa3e515,Data Science Analyst,,43.8,1717,26 days,2016-10-17 21:30:39.662904
35,"Wellesley, MA",Harvard Pilgrim Health Care,"Machine learning/Artificial Intelligence /Visualization, databases, and Big Data), Statistics, Epidemiology, Health Services Research, or equivalent combination...",7866761d4ff16f45,Data Scientist,,52.199997,28,23 days,2016-10-17 21:30:39.662904
36,"Somerville, MA 02144",clypd,"The ability to manage and manipulate large data sets through appropriate tools including, AWS, R and Python....",d6b6dce2a5de94d2,Data Scientist,,,,27 days,2016-10-17 21:30:39.662904
37,"Cambridge, MA",HawkinsPointPartners,"The background for this position is either a Scientist with a heavy analytics and data science background, or a Computer Scientist / Engineer who has been...",30e726fbc6878b03,Data Scientist,,,,30+ days,2016-10-17 21:30:39.662904
38,"Burlington, MA",Oracle,"6 years advanced analytics experience including applied techniques in data mining, machine learning, and graph mining on big data sets....",49ad811bb6ad6fd5,Data Scientist ( Machine Learning),,44.4,1013,29 days,2016-10-17 21:30:39.662904
39,"Cambridge, MA",KAYAK.com,"Use predictive analytics and machine learning to create new products or drive business decisions. Awesome health, dental and vision insurance plans....",7552852d4a2579f2,Data Scientist,,,,27 days,2016-10-17 21:30:39.662904
40,"Boston, MA",TiVo,"TiVo has developed a revolutionary cloud-based analytics platform that integrates massive data from set-tops, smart TVs, tablets and stream servers – basically...",54f2f2da3d9595f4,Data Scientist,,43.8,25,30+ days,2016-10-17 21:30:39.662904
41,"Cambridge, MA",BioPoint,"Strong statistical quantitative skills, including a background in machine learning and/or data mining. Design and execute a statistical analysis framework for...",8e3b71a666945af0,Outcomes Research Statistician (8480),,,,2 days,2016-10-17 21:30:39.662904
42,"Boston, MA 02110 (Central area)",Rapid7,"BS or MS in Statistics, Mathematics, Machine Learning, Data Mining, Analytics, Data Science or other quantitative disciplines....",61abb340e81e8338,Data Scientist,,43.8,16,2 days,2016-10-17 21:30:39.662904
43,"Boston, MA",MassMutual Financial Group,Data savvy personality with proven attention to detail and accuracy. Insights into actionable design requirements....,d758e0170f3c9df7,Consumer Research Analyst,,43.2,246,12 days,2016-10-17 21:30:39.662904
44,"Cambridge, MA 02139 (Area IV area)","Jobcase, Inc.","Analyzing experimental data using a combination of SQL, R, and Java. Available online and through an app, Jobcase provides one place to manage all things job...",fd6ea2a2559dab6b,Machine Learning Engineer,,,,6 days,2016-10-17 21:30:39.662904
45,"Quincy, MA",Ahold USA,"As a Co-op Data Scientist, you will determine data requirements, providing structure for raw data, extracting and manipulating data, conducting analysis, and...",d1adc4064ad7bd66,Data Scientists,,44.4,35,30+ days,2016-10-17 21:30:39.662904
46,"Cambridge, MA",Amazon Corporate LLC,Interested in Machine Learning? This person has thrived and succeeded in delivering high quality technology products/services in a hyper-growth environment...,2e1179909696a164,"Software Engineer - Cambridge, MA - Alexa Machine Learning P...",,43.2,9618,6 days,2016-10-17 21:30:39.662904
47,"Cambridge, MA",Strategic Employment Partners,"Located in the Greater Boston area is looking for a sharp Data Scientist to add. Professional experience with data mining,....",14f115ee6f812108,Data Scientist,"$90,000 - $135,000 a year",,,10 days,2016-10-17 21:30:39.662904
48,"Boston, MA 02108 (Back Bay-Beacon Hill area)",Captains of Industry,"Manage client audience intelligence portals, including uncovering and serving up timely research. Send your resume along with a creative cover letter explaining...",2428059b13279bec,Research Analyst - Strategic Insights,,,,3 days,2016-10-17 21:30:39.662904
49,"Boston, MA",Boston Technology Corporation,"Experience in Python, R, machine learning, business intelligence tools, natural language processing, advanced Microsoft Excel. Data mining algorithms....",f2faf17b181b09ce,Senior Data Scientist / Analyst,,,,18 days,2016-10-17 21:30:39.662904
50,"Boston, MA",Aol,"Computer Science (with a focus on artificial intelligence, data mining, or machine learning), Mathematics, Statistics, or another quantitative scientific field....",a091dd9c79dba4f8,Senior/Principal Data Scientist,,51.6,263,17 days,2016-10-17 21:30:39.662904
51,"Cambridge, MA","Foundation Medicine, Inc.","Harnessing advanced technology, Foundation Medicine is developing clinical laboratory tests that will broadly capture the most relevant tumor genomic and other...",5b31e234c3ed1ebf,Data Manager,,,,10 days,2016-10-17 21:30:39.662904
52,"Wellesley, MA 02482",Aetna,"Deep knowledge of health care industry, policy, research design, predictive modeling, machine learning techniques and visualization tools....",5d929ca998b66b46,Sr Informatics/Data Scientist,,43.8,1717,7 days,2016-10-17 21:30:39.662904
53,"Boston, MA 02115 (Fenway-Kenmore area)",Northeastern University,"Want to develop and apply algorithms for data analysis, machine learning and statistical inference. A project of particular interest is the proposal below that...",63f4fcf507f5f367,Research Scientist,"$60,000 a year",52.800003,191,7 days,2016-10-17 21:30:39.662904
54,"Cambridge, MA 02142 (East Cambridge area)",Google,"As a statistician/ computational biologist / bioinformatician / data scientist), including deep expertise and experience with statistical data analysis....",f38c410a69ccb8f1,"Quantitative Analyst/Data Scientist/Statistician, Verily Lif...",,52.800003,1219,30+ days,2016-10-17 21:30:39.662904
55,"Boston, MA 02210 (South Boston area)",Teikametrics,Develop statistical and predictive analytics models based on pricing data and metrics. Health care benefits....,26f440178d4332f9,eCommerce Data Scientist,,,,26 days,2016-10-17 21:30:39.662904
56,"Cambridge, MA",Microsoft,Our partners are building amazing applications and we are looking for a Data Scientist with strong analytical and developer skills to join the DX Technical Team...,a67fe5b77afb9bcf,Principal Data & Applied Scientist,,52.199997,2485,11 days,2016-10-17 21:30:39.662904
57,"Cambridge, MA",T3 Trading Group LLC,"If you have a strong analytical and statistical background along with current market experience, please send an updated resume to discuss a potential career...",fca550dfda4c85a5,Statistical Pairs Trading Positions,,51.0,4,23 days,2016-10-17 21:30:39.662904
58,"Cambridge, MA",Amazon Corporate LLC,"You’re looking for a team of bright, capable engineers to work with directly in implementing your vision while also collaborating with other research scientists...",98fbcf1df40d912b,"Research Scientist - Amazon Web Services - Cambridge, MA",,43.2,9618,3 days,2016-10-17 21:30:39.662904
59,"Cambridge, MA","Neurable, INC","Fluency in various machine and deep learning applications/design especially regarding neural networks (Markov chains/fields, generic algorithms, PCAs, ICAs, and...",e63fec23065d5f44,Machine Learning,,,,30+ days,2016-10-17 21:30:39.662904
60,"Boston, MA",Lux Research,1-3 years of experience managing data scientists and leading their machine learning work. The ideal candidate will have a proven track record of leading small...,7eebeb6c2bbd33e4,Senior Data Scientist - Machine Learning,,,,11 days,2016-10-17 21:30:39.662904
61,"Cambridge, MA",OM1,Work with engineers and data scientists to develop innovative solutions to abstract and integrate data from diverse sources....,2b3024870a95445f,Sr. Claims Data Analyst,,,,20 days,2016-10-17 21:30:39.662904
62,"Boston, MA",Apptopia,"As a Data Scientist, you will:. Demonstrable experience in data analysis and applying statistical concepts; BIG data skills....",b15f9bd7bc49057c,Data Scientist,,,,30+ days,2016-10-17 21:30:39.662904
63,"Boston, MA",Resource Technology Partners,"Proficiency with machine learning, data mining and predictive modeling techniques. A minimum of 3 years of experience in data analysis, data mining and...",44a73c5834829e43,Data Scientist,,,,13 days,2016-10-17 21:30:39.662904
64,"Cambridge, MA",Amazon Corporate LLC,"Solid Machine Learning background and familiar with standard speech and machine learning techniques. Amazon is looking for a passionate, talented, and inventive...",6f1969f9bde9a93f,Machine Learning Scientist,,43.2,9618,30+ days,2016-10-17 21:30:39.662904
65,"Boston, MA 02110 (Central area)","JIBO, Inc.","Responsibilities of the Lead Data Scientist:. In this role, you will own BI & Data Analytics and help us lay the groundwork for a modern BI Platform which will...",e7d02a3de9a1a669,Lead Data Scientist,,,,13 days,2016-10-17 21:30:39.662904
66,"Cambridge, MA",Amazon Corporate LLC,"Solid Machine Learning background and familiar with standard speech and machine learning techniques. Amazon is looking for a passionate, talented, and inventive...",cab250c7f5effb73,Applied Scientist- NLP,,43.2,9618,30+ days,2016-10-17 21:30:39.662904
67,"Boston, MA 02108 (Back Bay-Beacon Hill area)",AlixPartners,Digital Data Scientist. Handle missing data through an algorithmic approach such as multiple imputation to enable insights in sparse and messy data....,f23e8caca30558b8,Digital Data Scientist,,51.0,5,30+ days,2016-10-17 21:30:39.662904
68,"Boston, MA",Partners HealthCare,"With unparalleled access to clinical data and expert clinicians, as well as a world-class information technology (IT) team, the Clinical Data Science Center...",aaafc73ed6119427,Data Scientist,,51.0,107,30+ days,2016-10-17 21:30:39.662904
69,"Cambridge, MA",SNI Financial,"Use predictive analytics and machine learning to create new products or drive business decisions. Data Scientist- Outstanding Company, Culture and Benefits....",5eb91576dab8f56a,Data Scientist,,40.2,5,3 days,2016-10-17 21:30:39.662904
70,"Cambridge, MA",Harvard University,"Software packages, e.g., Stata, R as well as data management and translation tools) are also required. Data management and analysis;...",2827e6c84721531c,"Research Scientist, Saul Zaentz Early Education Initiative",,52.800003,302,2 days,2016-10-17 21:30:39.662904
71,"Boston, MA",GE,Sr Staff Data Scientist Scientist would be a key member of the Data Analytics and Machine Learning team that will be responsible for curating and analyzing...,6b316af36ec381b9,Sr Staff Data Scientist Job,,51.6,1517,25 days,2016-10-17 21:30:39.662904
72,"Boston, MA 02116 (South End area)",Wayfair,"Data Scientist, Analytics. Maintain machine learning models, data processing stages, and scheduled jobs....",51036cf74c9749b9,"Data Scientist, Algorithms",,42.6,89,30+ days,2016-10-17 21:30:39.662904
