,company,title,meanPay,City,low_sal,high_sal,sal_avg,entry_bin,mid_bin,senior_bin
923,"focuskpi, inc.",Data Scientist,93000 - 99000,san jose,93000,99000,96000,0,1,0
924,huawei technologies,Data Scientist,130000 - 140000,san jose,130000,140000,135000,0,1,0
925,successfactors,Data Scientist,123000 - 132000,san jose,123000,132000,127500,0,1,0
926,fujitsu,Data Scientist,122000 - 131000,san jose,122000,131000,126500,0,1,0
927,servicenow,Data Scientist,148000 - 159000,san jose,148000,159000,153500,0,1,0
928,aol,Data Scientist,122000 - 132000,san jose,122000,132000,127000,0,1,0
929,nvidia,Data Scientist,143000 - 157000,san jose,143000,157000,150000,0,1,0
930,equinix,Data Scientist,145000 - 159000,san jose,145000,159000,152000,0,1,0
931,godaddy,Data Scientist,117000 - 126000,san jose,117000,126000,121500,0,1,0
932,linkedin,Senior Data Scientist,159506,san jose,159506,159506,159506,0,0,1
933,netflix,Senior Data Scientist,182126,san jose,182126,182126,182126,0,0,1
934,linkedin,Software Engineer (Data Scientist),122762,san jose,122762,122762,122762,0,1,0
935,walmart,Staff Data Scientist,129000 - 140000,san jose,129000,140000,134500,0,1,0
936,microsoft,Senior Data Scientist,135000 - 186000,san jose,135000,186000,160500,0,0,1
937,intuit,Senior Data Scientist,164000 - 196000,san jose,164000,196000,180000,0,0,1
938,linkedin,Associate Data Scientist,109000 - 122000,san jose,109000,122000,115500,1,0,0
939,ibm,Entry Level Data Scientist,116000 - 128000,san jose,116000,128000,122000,0,1,0
940,microsoft,Data Scientist II,139000 - 150000,san jose,139000,150000,144500,0,1,0
941,at&t,Senior Data Scientist,147000 - 159000,san jose,147000,159000,153000,0,0,1
942,chegg,Senior Data Scientist,155000 - 170000,san jose,155000,170000,162500,0,0,1
943,sap,Senior Data Scientist,120000 - 130000,san jose,120000,130000,125000,0,0,1
944,intel corporation,Senior Data Scientist,157000 - 169000,san jose,157000,169000,163000,0,0,1
945,think big,Senior Data Scientist,154000 - 165000,san jose,154000,165000,159500,0,0,1
946,verizon,Senior Data Scientist,154000 - 168000,san jose,154000,168000,161000,0,0,1
947,hewlett packard enterprise | hpe,Senior Data Scientist,133000 - 146000,san jose,133000,146000,139500,0,0,1
948,ayasdi,Senior Data Scientist,130000 - 139000,san jose,130000,139000,134500,0,0,1
949,aol,Senior Data Scientist,139000 - 148000,san jose,139000,148000,143500,0,0,1
950,amazon.com,Senior Data Scientist,173000 - 186000,san jose,173000,186000,179500,0,0,1
951,hewlett-packard,Senior Data Scientist,141000 - 154000,san jose,141000,154000,147500,0,0,1
952,lockheed martin,Senior Data Scientist,139000 - 149000,san jose,139000,149000,144000,0,0,1
953,tiger analytics,Senior Data Scientist,125000 - 138000,san jose,125000,138000,131500,0,0,1
954,bny mellon,Senior Data Scientist,130000 - 141000,san jose,130000,141000,135500,0,0,1
955,walmart,Senior Data Scientist,137000 - 148000,san jose,137000,148000,142500,0,0,1
956,paypal,Senior Data Scientist,170000 - 185000,san jose,170000,185000,177500,0,0,1
957,target,Senior Data Scientist,133000 - 145000,san jose,133000,145000,139000,0,0,1
958,journal register,Senior Data Scientist,123000 - 133000,san jose,123000,133000,128000,0,0,1
959,medianews,Senior Data Scientist,140000 - 152000,san jose,140000,152000,146000,0,0,1
960,adobe,Senior Data Scientist,176000 - 191000,san jose,176000,191000,183500,0,0,1
961,digital first media,Senior Data Scientist,137000 - 147000,san jose,137000,147000,142000,0,0,1
962,bcg digital ventures,Senior Data Scientist,120000 - 130000,san jose,120000,130000,125000,0,0,1
963,cisco systems,Senior Data Scientist,153000 - 167000,san jose,153000,167000,160000,0,0,1
964,pivotal,Senior Data Scientist,162000 - 175000,san jose,162000,175000,168500,0,0,1
965,mcafee,Senior Data Scientist,153000 - 165000,san jose,153000,165000,159000,0,0,1
966,successfactors,Senior Data Scientist,136000 - 147000,san jose,136000,147000,141500,0,0,1
967,ibm,Data Scientist Intern,110000 - 120000,san jose,110000,120000,115000,1,0,0
968,groupon,Data Scientist Intern,142000 - 152000,san jose,142000,152000,147000,1,0,0
969,microsoft,Principal Data Scientist,168000 - 180000,san jose,168000,180000,174000,0,0,1
970,think big,Principal Data Scientist,172000 - 184000,san jose,172000,184000,178000,0,0,1
971,at&t,Principal Data Scientist,172000 - 186000,san jose,172000,186000,179000,0,0,1
972,riverbed technology,Principal Data Scientist,171000 - 186000,san jose,171000,186000,178500,0,0,1
973,amazon.com,Principal Data Scientist,195000 - 207000,san jose,195000,207000,201000,0,0,1
974,walmart,Principal Data Scientist,153000 - 164000,san jose,153000,164000,158500,0,0,1
975,intuit,Associate Data Scientist,133000 - 141000,san jose,133000,141000,137000,1,0,0
976,walmart,Associate Data Scientist,111000 - 120000,san jose,111000,120000,115500,1,0,0
977,emc,Data Scientist I,117000 - 126000,san jose,117000,126000,121500,0,1,0
978,pivotal,Data Scientist I,135000 - 145000,san jose,135000,145000,140000,0,1,0
979,microsoft,Data Scientist,120409,seattle,120409,120409,120409,0,1,0
980,nordstrom,Data Scientist,107304,seattle,107304,107304,107304,0,1,0
981,zillow,Data Scientist,112500,seattle,112500,112500,112500,0,1,0
982,microsoft,Data Scientist Intern - Monthly,7000 - 8000,seattle,84000,1008000,546000,1,0,0
983,voicebox technologies,Data Scientist,75000 - 151000,seattle,75000,151000,113000,0,1,0
984,redfin,Data Scientist,81000 - 99000,seattle,81000,99000,90000,0,1,0
985,facebook,Data Scientist,142000 - 154000,seattle,142000,154000,148000,0,1,0
986,amazon.com,Data Scientist,80000 - 85000,seattle,80000,85000,82500,0,1,0
987,tata consultancy services,Data Scientist,118000 - 128000,seattle,118000,128000,123000,0,1,0
988,pnnl,Data Scientist,70000 - 75000,seattle,70000,75000,72500,0,1,0
989,infosys,Data Scientist,101000 - 110000,seattle,101000,110000,105500,0,1,0
990,expedia,Data Scientist,116000 - 125000,seattle,116000,125000,120500,0,1,0
991,boeing,Data Scientist,92000 - 98000,seattle,92000,98000,95000,0,1,0
992,capital one,Data Scientist,116000 - 128000,seattle,116000,128000,122000,0,1,0
993,twitter,Data Scientist,129000 - 141000,seattle,129000,141000,135000,0,1,0
994,kpmg,Data Scientist,101000 - 111000,seattle,101000,111000,106000,0,1,0
995,accenture,Data Scientist,99000 - 107000,seattle,99000,107000,103000,0,1,0
996,groupon,Data Scientist,149000 - 159000,seattle,149000,159000,154000,0,1,0
997,philips,Data Scientist,119000 - 131000,seattle,119000,131000,125000,0,1,0
998,avanade,Data Scientist,119000 - 131000,seattle,119000,131000,125000,0,1,0
999,ihs,Data Scientist,103000 - 111000,seattle,103000,111000,107000,0,1,0
1000,richrelevance,Data Scientist,82000 - 89000,seattle,82000,89000,85500,0,1,0
1001,shoppertrak,Data Scientist,119000 - 130000,seattle,119000,130000,124500,0,1,0
1002,businessolver,Data Scientist,100000 - 108000,seattle,100000,108000,104000,0,1,0
1003,tellapart,Data Scientist,92000 - 98000,seattle,92000,98000,95000,0,1,0
1004,exponent,Data Scientist,91000 - 99000,seattle,91000,99000,95000,0,1,0
1005,xerox,Data Scientist,98000 - 106000,seattle,98000,106000,102000,0,1,0
1006,hotwire,Data Scientist,105000 - 113000,seattle,105000,113000,109000,0,1,0
1007,servicenow,Data Scientist,125000 - 138000,seattle,125000,138000,131500,0,1,0
1008,amazon lab126,Data Scientist,125000 - 136000,seattle,125000,136000,130500,0,1,0
1009,microsoft,Senior Data Scientist,145737,seattle,145737,145737,145737,0,0,1
1010,microsoft,Data Scientist II,125147,seattle,125147,125147,125147,0,1,0
1011,microsoft,Principal Data Scientist,186250,seattle,186250,186250,186250,0,0,1
1012,expedia,Senior Data Scientist,129000 - 141000,seattle,129000,141000,135000,0,0,1
1013,sap,Senior Data Scientist,103000 - 114000,seattle,103000,114000,108500,0,0,1
1014,allstate,Senior Data Scientist,108000 - 117000,seattle,108000,117000,112500,0,0,1
1015,exponent,Senior Data Scientist,103000 - 112000,seattle,103000,112000,107500,0,0,1
1016,aol,Senior Data Scientist,120000 - 130000,seattle,120000,130000,125000,0,0,1
1017,razorfish,Senior Data Scientist,130000 - 142000,seattle,130000,142000,136000,0,0,1
1018,amazon.com,Senior Data Scientist,150000 - 161000,seattle,150000,161000,155500,0,0,1
1019,pnnl,Senior Data Scientist,127000 - 137000,seattle,127000,137000,132000,0,0,1
1020,bcg digital ventures,Senior Data Scientist,106000 - 113000,seattle,106000,113000,109500,0,0,1
1021,cisco systems,Senior Data Scientist,133000 - 143000,seattle,133000,143000,138000,0,0,1
1022,allstate,Junior Data Scientist,82000 - 89000,seattle,82000,89000,85500,1,0,0
1023,amazon.com,Data Scientist Intern,109000 - 119000,seattle,109000,119000,114000,1,0,0
1024,amazon.com,Principal Data Scientist,168000 - 180000,seattle,168000,180000,174000,0,0,1
1025,salesforce,Associate Data Scientist,106000 - 113000,seattle,106000,113000,109500,1,0,0
1026,pnnl,Senior Data Scientist,128000 - 139000,seattle,128000,139000,133500,0,0,1
1027,bcg digital ventures,Senior Data Scientist,106000 - 113000,seattle,106000,113000,109500,0,0,1
1028,cisco systems,Senior Data Scientist,132000 - 144000,seattle,132000,144000,138000,0,0,1
1029,allstate,Junior Data Scientist,82000 - 89000,seattle,82000,89000,85500,1,0,0
1030,amazon.com,Data Scientist Intern,109000 - 118000,seattle,109000,118000,113500,1,0,0
1031,amazon.com,Principal Data Scientist,168000 - 180000,seattle,168000,180000,174000,0,0,1
1032,salesforce,Associate Data Scientist,105000 - 113000,seattle,105000,113000,109000,1,0,0
1033,pnnl,Senior Data Scientist,127000 - 139000,seattle,127000,139000,133000,0,0,1
1034,bcg digital ventures,Senior Data Scientist,104000 - 113000,seattle,104000,113000,108500,0,0,1
1035,cisco systems,Senior Data Scientist,134000 - 144000,seattle,134000,144000,139000,0,0,1
1036,allstate,Junior Data Scientist,83000 - 89000,seattle,83000,89000,86000,1,0,0
1037,amazon.com,Data Scientist Intern,110000 - 119000,seattle,110000,119000,114500,1,0,0
1038,amazon.com,Principal Data Scientist,166000 - 181000,seattle,166000,181000,173500,0,0,1
1039,salesforce,Associate Data Scientist,105000 - 115000,seattle,105000,115000,110000,1,0,0
1040,pnnl,Senior Data Scientist,129000 - 137000,seattle,129000,137000,133000,0,0,1
1041,bcg digital ventures,Senior Data Scientist,105000 - 113000,seattle,105000,113000,109000,0,0,1
1042,cisco systems,Senior Data Scientist,132000 - 144000,seattle,132000,144000,138000,0,0,1
1043,allstate,Junior Data Scientist,82000 - 89000,seattle,82000,89000,85500,1,0,0
1044,amazon.com,Data Scientist Intern,110000 - 118000,seattle,110000,118000,114000,1,0,0
1045,amazon.com,Principal Data Scientist,167000 - 180000,seattle,167000,180000,173500,0,0,1
1046,salesforce,Associate Data Scientist,106000 - 115000,seattle,106000,115000,110500,1,0,0
1047,booz allen hamilton,Data Scientist,73886,washington dc,73886,73886,73886,0,1,0
1048,capital one,Data Scientist,109750,washington dc,109750,109750,109750,0,1,0
1049,civis analytics,Data Scientist,85000,washington dc,85000,85000,85000,0,1,0
1050,noblis,Data Scientist,76267,washington dc,76267,76267,76267,0,1,0
1051,micron technology,Data Scientist,83000 - 117000,washington dc,83000,117000,100000,0,1,0
1052,agilex technologies,Data Scientist,89000 - 103000,washington dc,89000,103000,96000,0,1,0
1053,livingsocial,Data Scientist,76000 - 85000,washington dc,76000,85000,80500,0,1,0
1054,us department of defense,Data Scientist,84000 - 94000,washington dc,84000,94000,89000,0,1,0
1055,equifax,Data Scientist,98000 - 113000,washington dc,98000,113000,105500,0,1,0
1056,accenture,Data Scientist,115000 - 125000,washington dc,115000,125000,120000,0,1,0
1057,northrop grumman,Data Scientist,94000 - 101000,washington dc,94000,101000,97500,0,1,0
1058,elder research,Data Scientist,88000 - 96000,washington dc,88000,96000,92000,0,1,0
1059,the advisory board company,Data Scientist,101000 - 109000,washington dc,101000,109000,105000,0,1,0
1060,mitre,Data Scientist,121000 - 131000,washington dc,121000,131000,126000,0,1,0
1061,finra,Data Scientist,115000 - 125000,washington dc,115000,125000,120000,0,1,0
1062,ibm,Data Scientist,117000 - 129000,washington dc,117000,129000,123000,0,1,0
1063,pwc,Data Scientist,111000 - 119000,washington dc,111000,119000,115000,0,1,0
1064,rang technologies,Data Scientist,113000 - 122000,washington dc,113000,122000,117500,0,1,0
1065,kpmg,Data Scientist,104000 - 113000,washington dc,104000,113000,108500,0,1,0
1066,hewlett packard enterprise | hpe,Data Scientist,105000 - 115000,washington dc,105000,115000,110000,0,1,0
1067,verizon,Data Scientist,122000 - 131000,washington dc,122000,131000,126500,0,1,0
1068,gallup,Data Scientist,96000 - 102000,washington dc,96000,102000,99000,0,1,0
1069,hewlett-packard,Data Scientist,111000 - 120000,washington dc,111000,120000,115500,0,1,0
1070,lockheed martin,Data Scientist,108000 - 118000,washington dc,108000,118000,113000,0,1,0
1071,verizon wireless,Data Scientist,111000 - 120000,washington dc,111000,120000,115500,0,1,0
1072,leidos,Data Scientist,98000 - 105000,washington dc,98000,105000,101500,0,1,0
1073,ihs,Data Scientist,106000 - 114000,washington dc,106000,114000,110000,0,1,0
1074,aptima,Data Scientist,102000 - 111000,washington dc,102000,111000,106500,0,1,0
1075,altamira technologies,Data Scientist,114000 - 123000,washington dc,114000,123000,118500,0,1,0
1076,engility,Data Scientist,106000 - 116000,washington dc,106000,116000,111000,0,1,0
1077,cgi,Data Scientist,106000 - 113000,washington dc,106000,113000,109500,0,1,0
1078,boeing,Data Scientist,98000 - 106000,washington dc,98000,106000,102000,0,1,0
1079,qinetiq north america,Data Scientist,106000 - 114000,washington dc,106000,114000,110000,0,1,0
1080,mda is,Data Scientist,101000 - 110000,washington dc,101000,110000,105500,0,1,0
1081,gannett,Data Scientist,107000 - 116000,washington dc,107000,116000,111500,0,1,0
1082,vistronix,Data Scientist,93000 - 101000,washington dc,93000,101000,97000,0,1,0
1083,raytheon,Data Scientist,105000 - 115000,washington dc,105000,115000,110000,0,1,0
1084,cormac,Data Scientist,110000 - 120000,washington dc,110000,120000,115000,0,1,0
1085,bae systems usa,Data Scientist,109000 - 118000,washington dc,109000,118000,113500,0,1,0
1086,socialcode,Data Scientist,108000 - 116000,washington dc,108000,116000,112000,0,1,0
1087,booz allen hamilton,Lead Data Scientist,133000 - 161000,washington dc,133000,161000,147000,0,0,1
1088,ibm,Entry Level Data Scientist,105000 - 112000,washington dc,105000,112000,108500,0,1,0
1089,hewlett-packard,Senior Data Scientist,162000 - 177000,washington dc,162000,177000,169500,0,0,1
1090,ondeck,Senior Data Scientist,86000 - 94000,washington dc,86000,94000,90000,0,0,1
1091,the advisory board company,Senior Data Scientist,115000 - 125000,washington dc,115000,125000,120000,0,0,1
1092,us department of defense,Senior Data Scientist,94000 - 101000,washington dc,94000,101000,97500,0,0,1
1093,ibm,Senior Data Scientist,133000 - 144000,washington dc,133000,144000,138500,0,0,1
1094,kpmg,Senior Data Scientist,118000 - 126000,washington dc,118000,126000,122000,0,0,1
1095,capital one,Senior Data Scientist,135000 - 146000,washington dc,135000,146000,140500,0,0,1
1096,booz allen hamilton,Senior Data Scientist,95000 - 102000,washington dc,95000,102000,98500,0,0,1
1097,lockheed martin,Senior Data Scientist,123000 - 133000,washington dc,123000,133000,128000,0,0,1
1098,saic,Senior Data Scientist,115000 - 126000,washington dc,115000,126000,120500,0,0,1
1099,leidos,Senior Data Scientist,109000 - 119000,washington dc,109000,119000,114000,0,0,1
1100,src,Senior Data Scientist,132000 - 143000,washington dc,132000,143000,137500,0,0,1
1101,raytheon,Senior Data Scientist,120000 - 130000,washington dc,120000,130000,125000,0,0,1
1102,akamai,Senior Data Scientist,144000 - 156000,washington dc,144000,156000,150000,0,0,1
1103,l-3 communications,Senior Data Scientist,120000 - 128000,washington dc,120000,128000,124000,0,0,1
1104,2u,Senior Data Scientist,126000 - 137000,washington dc,126000,137000,131500,0,0,1
1105,cgi,Senior Data Scientist,118000 - 128000,washington dc,118000,128000,123000,0,0,1
1106,general dynamics mission systems,Senior Data Scientist,127000 - 138000,washington dc,127000,138000,132500,0,0,1
1107,verizon,Junior Data Scientist,105000 - 114000,washington dc,105000,114000,109500,1,0,0
1108,verizon wireless,Junior Data Scientist,96000 - 103000,washington dc,96000,103000,99500,1,0,0
1109,mitre,Junior Data Scientist,99000 - 106000,washington dc,99000,106000,102500,1,0,0
1110,booz allen hamilton,Junior Data Scientist,72000 - 78000,washington dc,72000,78000,75000,1,0,0
1111,booz allen hamilton,Chief Data Scientist,119000 - 129000,washington dc,119000,129000,124000,0,0,1
1112,capital one,Chief Data Scientist,171000 - 187000,washington dc,171000,187000,179000,0,0,1
1113,capital one,Principal Data Scientist,152000 - 163000,washington dc,152000,163000,157500,0,0,1
1114,snagajob,Principal Data Scientist,142000 - 154000,washington dc,142000,154000,148000,0,0,1
1115,verizon,Junior Data Scientist,104000 - 114000,washington dc,104000,114000,109000,1,0,0
1116,verizon wireless,Junior Data Scientist,97000 - 103000,washington dc,97000,103000,100000,1,0,0
1117,mitre,Junior Data Scientist,98000 - 106000,washington dc,98000,106000,102000,1,0,0
1118,booz allen hamilton,Junior Data Scientist,72000 - 78000,washington dc,72000,78000,75000,1,0,0
1119,booz allen hamilton,Chief Data Scientist,120000 - 131000,washington dc,120000,131000,125500,0,0,1
1120,capital one,Chief Data Scientist,174000 - 186000,washington dc,174000,186000,180000,0,0,1
1121,capital one,Principal Data Scientist,152000 - 162000,washington dc,152000,162000,157000,0,0,1
1122,snagajob,Principal Data Scientist,144000 - 154000,washington dc,144000,154000,149000,0,0,1
1123,verizon,Junior Data Scientist,105000 - 112000,washington dc,105000,112000,108500,1,0,0
1124,verizon wireless,Junior Data Scientist,96000 - 104000,washington dc,96000,104000,100000,1,0,0
1125,mitre,Junior Data Scientist,98000 - 106000,washington dc,98000,106000,102000,1,0,0
1126,booz allen hamilton,Junior Data Scientist,72000 - 79000,washington dc,72000,79000,75500,1,0,0
1127,booz allen hamilton,Chief Data Scientist,121000 - 131000,washington dc,121000,131000,126000,0,0,1
1128,capital one,Chief Data Scientist,172000 - 188000,washington dc,172000,188000,180000,0,0,1
1129,capital one,Principal Data Scientist,150000 - 164000,washington dc,150000,164000,157000,0,0,1
1130,snagajob,Principal Data Scientist,144000 - 154000,washington dc,144000,154000,149000,0,0,1
