,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
26,"Washington, DC 20001 (Shaw area)",National Association of REALTORS,Research Data Scientist. The Research Data Scientist is expected to perform computer based analyses of data from the public and NAR members focused on market...,9ae2d93ed47b68b3,Research Data Scientist,,52.800003,11,27 days,2016-10-17 21:32:25.026828
27,"Washington, DC",Arch Capital Group Ltd.,"Analyst, Data Scientist to join the newly formed Data and Analytics. Data mining using state-of-the-art methods....",506091a16c85e1d4,"Sr Analyst, Data Scientist",,,,15 days,2016-10-17 21:32:25.026828
28,"Washington, DC",Excella Consulting,"The Data Scientist is responsible for using advanced analytics methods to understand data patterns and outliers, identify likely predictive indicators and...",eff49d338cb0492f,Data Scientist,,,,30+ days,2016-10-17 21:32:25.026828
29,"Washington, DC",George Washington University,Columbian College of Arts and Science's Data Science Master's program is in need of a instructor in the field of Machine Learning with a focus on managing big...,608ca7295d714875,Machine Learning/Data Mining Adjunct Professor,,,,20 days,2016-10-17 21:32:25.026828
30,"Arlington, VA",CACI International Inc,"As a Data Scientist, you will work as part of a team of data scientists, software developers, and cloud engineers to develop novel analytic approaches for...",fc362ab7404ab7a7,Data Scientist Job,,44.4,815,23 days,2016-10-17 21:32:25.026828
31,"Washington, DC",KeyLogic Systems,2+ years of experience in an engineering or 4+ year of experience in a scientific or other technical field. The Data Analyst/Engineer/Scientist will assist with...,1941fae8689b0674,Data Analyst/Engineer/Scientist,,52.800003,3,19 days,2016-10-17 21:32:25.026828
32,"Arlington, VA 22203 (Bluemont area)",Management Sciences for Health,"Management Sciences for Health (MSH), a global health nonprofit organization, uses proven approaches developed over 40 years to help leaders, health managers,...",ead6c8879110bac0,Senior Data Scientist & Analytics Developer,,44.4,31,17 days,2016-10-17 21:32:25.026828
33,"Washington, DC",Applied Communication Sciences,Vencore Labs (formerly Applied Communication Sciences) is a self-sustaining research center within Vencore that provides applied research and engineering to...,18c98d831b92720c,Data Scientist,,,,30+ days,2016-10-17 21:32:25.026828
34,"Washington, DC",Aptima,"Understanding of machine learning techniques (e.g., Support Vector Machines, Artificial Neural Networks) and has experience using machine learning to build...",982c46438b1bfbeb,Data Scientist/Software Engineer,,,,30+ days,2016-10-17 21:32:25.026828
35,"Arlington, VA",Aptima,"In Mathematics, Computer Science, or related technical field Minimum of two years of experience performing data analysis on large data sets in a team...",8307b10ed9897c37,Data Scientist (Junior) (VA),,,,21 days,2016-10-17 21:32:25.026828
36,"Washington, DC",The Advisory Board Company,The Advisory Board Company is an Affirmative Action and Equal Opportunity Employer. EOE AA M/F/Vet/Disability,da4fb1ef7445bca8,"Associate Data Scientist, EAB (Full Time, Starting Summer 20...",,42.6,69,30+ days,2016-10-17 21:32:25.026828
37,"Washington, DC",Gallup,Gallup data scientists help clients effectively use data to make better decisions. Minimum of one year of experience in building production-level machine...,d231a51fa8ca2cf6,Data Scientist – Predictive Analytics,,44.4,61,30+ days,2016-10-17 21:32:25.026828
